SALE TYPE,SOLD DATE,Days_Since_Sold,Month_Sold,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,AGE,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,FAVORITE,LATITUDE,LONGITUDE,STORAGE_STRUCTURE,Garage_Spaces,Basement_Level,Recently_Renovated
PAST SALE,2023-08-17,678,8,Single Family Residential,23 Hidden Dr,Thayne,WY,83127,450000,3,2.0,Hidden Creek,1768,44866,2015,10,,255,600.0,Sold,https://www.redfin.com/WY/Thayne/23-Hidden-Dr-83127/home/135476000,TBOR,23-721,N,42.939594,-111.00323,0,2,0,0
PAST SALE,2023-07-25,701,7,Single Family Residential,12 Aster Loop,Alpine,WY,83128,749900,4,3.0,Alpine Meadows,2688,20908,2007,18,,279,325.0,Sold,https://www.redfin.com/WY/Alpine/12-Aster-Loop-83128/home/135385959,TBOR,23-389,N,43.1719586,-111.0243043,0,0,3,0
PAST SALE,2023-07-13,713,7,Single Family Residential,618 Snake Dr,Alpine,WY,83128,897000,4,3.0,Riverview Meadows,2612,16552,1996,29,,343,150.0,Sold,https://www.redfin.com/WY/Alpine/618-Snake-DR-83128/home/187935109,TBOR,22-1776,N,43.161826,-111.033398,0,2,0,0
PAST SALE,2023-07-17,709,7,Single Family Residential,96 White Pine Ave,Star Valley Ranch,WY,83127,389000,3,2.0,Star Valley Ranch,2190,26136,1984,41,,178,467.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/96-White-Pine-Ave-83127/home/135397281,TBOR,23-1460,N,42.984249,-110.954993,0,3,3,0
PAST SALE,2023-09-13,651,9,Single Family Residential,55 Piute Dr,Star Valley Ranch,WY,83127,399000,3,2.0,Star Valley Ranch,1560,50094,1990,35,,256,581.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/55-Piute-Dr-83127/home/135356223,TBOR,23-1287,N,42.9900485,-110.9740647,0,2,0,0
PAST SALE,2023-08-07,688,8,Single Family Residential,251 Gallup Dr,Etna,WY,83118,499000,3,2.0,Nordic Ranches,1370,54450,2006,19,,364,,Sold,https://www.redfin.com/WY/Etna/251-Gallup-Dr-83118/home/135428610,TBOR,23-725,N,43.0871786,-111.0080219,1,2,0,1
PAST SALE,2023-08-23,672,8,Single Family Residential,296 Aspen Trl,Alpine,WY,83128,1897000,4,4.0,Aspen Ridge Estates,3684,25700,2021,4,,515,1350.0,Sold,https://www.redfin.com/WY/Alpine/296-Aspen-Ln-83128/home/187934765,TBOR,23-1352,N,43.1082334,-111.0185882,0,4,0,0
PAST SALE,2023-08-24,671,8,Single Family Residential,165 Flywater Trl,Freedom,WY,83120,6500000,4,4.5,Double L Ranch,6763,370260,2013,12,,961,14000.0,Sold,https://www.redfin.com/WY/Freedom/165-Flywater-TRL-83120/home/187934277,TBOR,23-1417,N,43.077506,-111.034262,0,3,0,0
PAST SALE,2023-09-20,644,9,Single Family Residential,155 N Forest Dr,Star Valley Ranch,WY,83127,588000,3,2.5,Star Valley Ranch,1615,45302,2017,8,,364,590.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/155-N-Forest-Dr-83127/home/147181454,TBOR,23-1789,N,42.9926892,-110.9689638,0,2,0,0
PAST SALE,2023-09-29,635,9,Single Family Residential,123 S Main St,Thayne,WY,83127,359000,2,1.0,Thayne,1171,40946,1971,54,,307,,Sold,https://www.redfin.com/WY/Thayne/123-S-Main-St-83127/home/135357976,TBOR,22-2268,N,42.916415,-111.002299,1,0,0,0
PAST SALE,2023-09-20,644,9,Single Family Residential,124 Nield Ave,Afton,WY,83110,325000,3,2.5,Afton,1288,14374,1941,84,,252,,Sold,https://www.redfin.com/WY/Afton/124-Nield-Ave-83110/home/135422648,TBOR,23-938,N,42.721418,-110.937282,1,3,0,0
PAST SALE,2023-07-19,707,7,Single Family Residential,88 Nield Ave,Afton,WY,83110,495000,5,3.0,Afton,3184,10018,1999,26,,155,,Sold,https://www.redfin.com/WY/Afton/88-Nield-Ave-83110/home/135347997,TBOR,23-563,N,42.721601,-110.935933,0,2,3,0
PAST SALE,2023-10-06,628,10,Single Family Residential,220 S Washington St,Afton,WY,83110,150000,3,1.0,Afton,1260,10890,1930,95,,119,,Sold,https://www.redfin.com/WY/Afton/220-S-Washington-St-83110/home/175749257,TBOR,23-1852,N,42.729055,-110.933821,1,0,0,1
PAST SALE,2023-09-28,636,9,Single Family Residential,101 Heap Dr,Thayne,WY,83127,335000,2,2.0,Thayne,1088,16117,2020,5,,308,,Sold,https://www.redfin.com/WY/Thayne/101-Heap-Dr-83127/home/175749368,TBOR,23-1656,N,42.917626,-111.00303,0,0,3,0
PAST SALE,2023-09-14,650,9,Single Family Residential,539 Kodiak Cir,Thayne,WY,83127,499000,3,2.5,Bear Hollow,2388,7405,2002,23,,209,,Sold,https://www.redfin.com/WY/Thayne/539-Kodiak-Cir-83127/home/135397130,TBOR,23-1838,N,42.916089,-110.981042,1,2,0,0
PAST SALE,2023-08-07,688,8,Single Family Residential,115 East Circle Dr,Thayne,WY,83127,660000,5,3.0,North Forty,3096,41382,2016,9,,213,400.0,Sold,https://www.redfin.com/WY/Thayne/115-E-Circle-Dr-83127/home/143244460,TBOR,22-2524,N,42.92226,-110.9674,0,2,3,0
PAST SALE,2023-08-09,686,8,Single Family Residential,413 Aster Loop,Alpine,WY,83128,750000,3,2.0,Alpine Meadows,1665,17859,2009,16,,450,325.0,Sold,https://www.redfin.com/WY/Alpine/413-Aster-Loop-83128/home/135435269,TBOR,23-1127,N,43.1689349,-111.0257957,0,2,0,0
PAST SALE,2023-09-19,645,9,Single Family Residential,797 Country Club Way,Thayne,WY,83127,550000,5,3.0,Stewart Country Club Estates,2620,13939,2007,18,,210,1295.0,Sold,https://www.redfin.com/WY/Thayne/797-Country-Club-Way-83127/home/135376838,TBOR,23-81,N,42.960897,-110.974171,1,2,3,0
PAST SALE,2023-11-15,588,11,Single Family Residential,75 Scrub Oak Dr,Star Valley Ranch,WY,83127,400000,3,2.0,Star Valley Ranch,1456,13068,2007,18,,275,581.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/75-Scrub-Oak-Dr-83127/home/135417628,TBOR,23-2503,N,42.962204,-110.981269,0,2,0,0
PAST SALE,2023-09-29,635,9,Single Family Residential,362 Wooden Spur,Alpine,WY,83128,725000,3,2.0,Greys River Village,1840,16988,2008,17,,394,,Sold,https://www.redfin.com/WY/Alpine/362-Wooden-Spur-Dr-83128/home/135368875,TBOR,23-1389,N,43.1622555,-111.0099554,0,2,0,0
PAST SALE,2025-03-18,99,3,Single Family Residential,205 Holly Dr,Star Valley Ranch,WY,83127,580000,5,3.0,Star Valley Ranch,2936,13068,2022,3,,198,601.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/205-Holly-Dr-83127/home/165559245,TBOR,25-423,N,42.962482,-110.981822,0,2,3,0
PAST SALE,2023-10-02,632,10,Single Family Residential,3417 County Road 110,Etna,WY,83118,979000,3,2.0,Etna,1200,653400,1979,46,,816,,Sold,https://www.redfin.com/WY/Etna/3417-County-Road-110-83118/home/187936575,TBOR,22-2986,N,43.082982,-110.99433,1,0,2,0
PAST SALE,2024-04-24,427,4,Single Family Residential,608 Merritt Dr,Afton,WY,83110,775000,2,2.0,ZZZ--VOID--Do NOT Use,1423,459993,2007,18,,545,,Sold,https://www.redfin.com/WY/Afton/608-Merritt-Dr-83110/home/187933247,TBOR,24-769,N,42.7084593,-111.0125235,0,0,1,0
PAST SALE,2023-08-16,679,8,Single Family Residential,4287 County Rd 125,Freedom,WY,83127,2224900,7,5.0,Freedom,6608,155944,1976,49,,337,,Sold,https://www.redfin.com/WY/Thayne/4287-County-Road-125-83127/home/135432471,TBOR,23-807,N,42.9627087,-111.0437932,1,1,3,0
PAST SALE,2023-09-08,656,9,Single Family Residential,678 Vista East Dr,Star Valley Ranch,WY,83127,450000,3,2.5,Star Valley Ranch,2160,21780,1982,43,,208,467.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/678-Vista-East-Dr-83127/home/135393649,TBOR,23-982,N,42.987432,-110.957552,0,1,3,0
PAST SALE,2023-09-05,659,9,Single Family Residential,14 Redwood Rd,Star Valley Ranch,WY,83127,599000,3,2.5,Star Valley Ranch,2364,17424,2008,17,,253,467.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/14-Redwood-Rd-83127/home/135379570,TBOR,22-2126,N,42.9861706,-110.9565081,0,2,3,0
PAST SALE,2023-10-05,629,10,Single Family Residential,215 Freedom Ln,Freedom,WY,83120,899000,3,2.0,River Ranches Fishing & Equestrian Estates,2444,204732,2008,17,,368,500.0,Sold,https://www.redfin.com/WY/Freedom/215-Freedom-Ln-83120/home/143245388,TBOR,22-3024,N,43.001154,-111.0142103,1,2,0,1
PAST SALE,2025-03-24,93,3,Single Family Residential,80 Canyon Pines Way,Star Valley Ranch,WY,83127,1195000,6,3.5,Star Valley Ranch,4281,23958,2008,17,,279,409.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/80-Canyon-Pines-Way-83127/home/135344519,TBOR,25-474,N,42.973882,-110.9514329,0,3,3,0
PAST SALE,2023-08-15,680,8,Single Family Residential,300 Ridgecrest Dr,Star Valley Ranch,WY,83127,479000,2,2.0,Star Valley Ranch,1504,46173,1989,36,,318,384.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/300-Ridgecrest-Dr-83127/home/135382620,TBOR,22-3153,N,42.9711727,-110.9508266,0,0,0,0
PAST SALE,2023-10-27,607,10,Single Family Residential,554 Cedar Creek Dr,Star Valley Ranch,WY,83127,1100000,6,4.0,Star Valley Ranch,5497,46173,2021,4,,200,371.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/554-Cedar-Creek-Dr-83127/home/187933959,TBOR,23-1679,N,42.9718019,-110.962172,0,2,3,0
PAST SALE,2023-09-08,656,9,Single Family Residential,101 Caribou Forest Dr,Alpine,WY,83128,1100000,3,2.0,Alpine Retreat,1954,65340,2021,4,,563,1000.0,Sold,https://www.redfin.com/WY/Alpine/101-Caribou-Forest-Dr-83128/home/192290970,TBOR,23-2223,N,43.119349,-111.038096,0,2,0,0
PAST SALE,2023-07-19,707,7,Single Family Residential,105 Westview Dr,Afton,WY,83110,339000,4,2.0,Westview Village Subd.,1800,20908,1981,44,,188,,Sold,https://www.redfin.com/WY/Afton/105-Westview-Dr-83110/home/135407460,TBOR,23-709,N,42.6931532,-110.9293721,1,0,2,0
PAST SALE,2023-11-15,588,11,Single Family Residential,4520 Main St,Bedford,WY,83112,639000,4,2.5,Bedford,2561,64033,1999,26,,250,,Sold,https://www.redfin.com/WY/Bedford/4520-Main-St-83112/home/135370290,TBOR,23-562,N,42.898166,-110.938709,1,2,1,0
PAST SALE,2023-07-06,720,7,Single Family Residential,175 Fawn Ln,Thayne,WY,83127,1499000,5,3.0,Thayne,5856,487000,2019,6,,256,,Sold,https://www.redfin.com/WY/Thayne/175-Fawn-Ln-83127/home/168771249,TBOR,23-681,N,42.937066,-110.977017,0,3,3,0
PAST SALE,2023-07-25,701,7,Single Family Residential,567 Country Club Way,Thayne,WY,83127,589000,5,2.5,Stewart Country Club Estates,2676,13939,2006,19,,220,1502.0,Sold,https://www.redfin.com/WY/Thayne/567-Country-Club-Way-83127/home/135393637,TBOR,22-2668,N,42.9609617,-110.9785936,1,2,2,0
PAST SALE,2023-08-11,684,8,Single Family Residential,315 Strawberry Creek Private Rd,Bedford,WY,83112,495000,2,2.5,Bridger Forest,1280,159429,1980,45,,387,,Sold,https://www.redfin.com/WY/Bedford/315-Strawberry-Creek-Private-Rd-83112/home/135363103,TBOR,23-1252,N,42.900234,-110.918677,0,2,1,0
PAST SALE,2023-09-01,663,9,Single Family Residential,58 Dale Ct,Bedford,WY,83112,350000,1,1.0,Green Valley,915,75358,2005,20,,383,,Sold,https://www.redfin.com/WY/Bedford/58-Dale-Ct-83112/home/135357776,TBOR,23-1645,N,42.898855,-110.915678,0,0,0,0
PAST SALE,2023-07-24,702,7,Single Family Residential,200 Bonneville Dr,Star Valley Ranch,WY,83127,529000,3,2.0,Star Valley Ranch,1478,30056,2023,2,,358,375.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/200-Bonneville-Rd-83127/home/165558495,TBOR,23-730,N,42.954574,-110.953031,0,2,0,0
PAST SALE,2023-07-31,695,7,Single Family Residential,143 Bingham Dr,Star Valley Ranch,WY,83127,554700,4,2.0,Star Valley Ranch,1796,26571,2007,18,,309,375.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/143-Bingham-Dr-83127/home/135362890,TBOR,23-752,N,42.9548671,-110.953514,1,2,0,0
PAST SALE,2023-10-03,631,10,Single Family Residential,80 Little Greys Lp Loop,Etna,WY,83118,595000,4,3.0,Etna Village Estates,2156,23086,1947,78,,276,700.0,Sold,https://www.redfin.com/WY/Etna/80-Little-Greys-Loop-83118/home/165568920,TBOR,23-1882,N,43.034894,-111.01801,0,2,0,0
PAST SALE,2023-07-31,695,7,Single Family Residential,454 Flywater Trl,Freedom,WY,83120,3750000,2,2.0,Double L Ranch,1800,317988,2014,11,,2083,14000.0,Sold,https://www.redfin.com/WY/Freedom/454-Flywater-TRL-83120/home/187938322,TBOR,23-974,N,43.082807,-111.036961,0,0,0,0
PAST SALE,2023-10-11,623,10,Single Family Residential,320 W Reserve Dr,Alpine,WY,83128,14750000,7,3.5,Alpine Village,5757,266587,1982,43,,2562,6400.0,Sold,https://www.redfin.com/WY/Alpine/320-W-Reserve-Dr-83128/home/135360367,TBOR,23-879,N,43.1832852,-111.037981,1,4,0,0
PAST SALE,2023-10-30,604,10,Single Family Residential,268 Willow Dr,Alpine,WY,83128,1800000,4,3.0,Salt River Cove,2929,152895,2007,18,,615,1000.0,Sold,https://www.redfin.com/WY/Alpine/268-Willow-DR-83128/home/188123064,TBOR,23-2189,N,43.115575,-111.027763,0,2,0,1
PAST SALE,2024-05-16,405,5,Single Family Residential,322 Wright St,Thayne,WY,83127,499000,3,2.0,Thayne,1520,18730,2022,3,,328,,Sold,https://www.redfin.com/WY/Thayne/322-Wright-St-83127/home/180890700,TBOR,24-798,N,42.921047,-110.993714,0,2,0,0
PAST SALE,2024-11-04,233,11,Single Family Residential,204 North St,Grover,WY,83122,185000,3,1.0,Grover,1080,70567,1918,107,,171,,Sold,https://www.redfin.com/WY/Grover/204-North-St-83122/home/135355558,TBOR,24-2678,N,42.793558,-110.929206,0,0,2,0
PAST SALE,2024-05-13,408,5,Single Family Residential,133 Red Tail Path,Alpine,WY,83128,869000,3,2.5,Trail Ridge,3232,57063,2008,17,,269,850.0,Sold,https://www.redfin.com/WY/Alpine/133-Red-Tail-Path-83128/home/135374370,TBOR,24-549,N,43.120563,-111.023532,1,2,3,1
PAST SALE,2024-02-23,488,2,Single Family Residential,961 Clark Rd,Etna,WY,83118,725000,3,2.5,Etna,2080,87120,2002,23,,349,,Sold,https://www.redfin.com/WY/Etna/961-Clark-Ln-83118/home/135383941,TBOR,24-20,N,42.997498,-110.99489,1,0,2,1
PAST SALE,2024-07-02,358,7,Single Family Residential,266 Walnut Dr,Star Valley Ranch,WY,83127,1075000,5,5.0,Star Valley Ranch,3864,20037,2023,2,,278,418.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/266-Walnut-Dr-83127/home/165559794,TBOR,24-1191,N,42.980606,-110.963054,0,2,0,0
PAST SALE,2024-10-29,239,10,Single Family Residential,202 Waterline Rd,Etna,WY,83118,785000,3,2.5,Caribou Flats,1408,152460,2018,7,,558,125.0,Sold,https://www.redfin.com/WY/Etna/202-Waterline-Rd-83118/home/168772432,TBOR,24-2391,N,43.070439,-111.013744,0,3,0,0
PAST SALE,2024-07-30,330,7,Single Family Residential,62 Abe Ln,Bedford,WY,83112,475000,4,2.0,Bedford,2098,21780,2007,18,,226,200.0,Sold,https://www.redfin.com/WY/Bedford/62-Abe-Ln-83112/home/135404553,TBOR,24-1330,N,42.900851,-110.942008,0,3,0,1
PAST SALE,2023-10-16,618,10,Single Family Residential,64 Saddle Cir,Etna,WY,83118,1400000,4,3.5,Nordic Ranches,4759,217800,2003,22,,294,,Sold,https://www.redfin.com/WY/Etna/64-Saddle-Cir-83118/home/135400587,TBOR,23-852,N,43.0712993,-110.9903985,0,2,1,0
PAST SALE,2023-12-15,558,12,Single Family Residential,81 Brambleberry Dr,Star Valley Ranch,WY,83127,525000,3,2.0,Star Valley Ranch,1625,17424,2023,2,,323,480.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/81-Brambleberry-Dr-83127/home/165571745,TBOR,23-2479,N,42.966468,-110.982862,0,2,2,0
PAST SALE,2023-10-17,617,10,Single Family Residential,140 Willard Ave,Afton,WY,83110,479000,5,3.0,Afton,2724,10454,2001,24,,176,,Sold,https://www.redfin.com/WY/Afton/140-Willard-Ave-83110/home/135412364,TBOR,23-83,N,42.7264121,-110.9373021,0,2,3,1
PAST SALE,2024-07-22,338,7,Single Family Residential,116 First Ave,Alpine,WY,83128,400000,2,1.0,Blue Lake Estates,960,13068,1965,60,,417,,Sold,https://www.redfin.com/WY/Alpine/116-1-Ave-83128/home/135408441,TBOR,24-1432,N,43.176748,-111.038451,1,1,0,0
PAST SALE,2024-08-16,313,8,Single Family Residential,131 E Papworth Ln,Afton,WY,83110,835000,3,2.5,Valli Vu Golf Course,2166,14810,2024,1,,386,,Sold,https://www.redfin.com/WY/Afton/131-Papworth-Ln-83110/home/165557131,TBOR,24-1855,N,42.707068,-110.927969,0,3,2,0
PAST SALE,2023-10-17,617,10,Single Family Residential,81 Caribou Peak Lp,Etna,WY,83118,590000,3,2.5,Etna Village Estates,1804,32234,2023,2,,327,700.0,Sold,https://www.redfin.com/WY/Etna/81-Caribou-Peak-Loop-83118/home/187933668,TBOR,23-410,N,43.0356479,-111.0179557,0,2,0,0
PAST SALE,2024-06-03,387,6,Single Family Residential,362 Scrub Oak,Star Valley Ranch,WY,83127,550000,3,2.0,Star Valley Ranch,1537,17424,2022,3,,358,581.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/362-Scrub-Oak-Dr-83127/home/165559224,TBOR,23-837,N,42.966655,-110.980535,0,2,0,0
PAST SALE,2024-11-20,217,11,Single Family Residential,84 Bearlake Dr,Star Valley Ranch,WY,83127,799000,3,2.5,Star Valley Ranch,2100,24829,2024,1,,380,40.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/84-Bearlake-Dr-83127/home/165564417,TBOR,24-2615,N,42.955731,-110.951225,0,2,0,0
PAST SALE,2024-03-29,453,3,Single Family Residential,25 Alta Dr,Star Valley Ranch,WY,83127,565000,3,2.0,Star Valley Ranch,2880,34848,1984,41,,196,350.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/25-Alta-Dr-83127/home/135390450,TBOR,24-144,N,42.978118,-110.963902,0,2,3,1
PAST SALE,2023-10-18,616,10,Single Family Residential,205 W Mill Cir,Alpine,WY,83128,699000,4,2.0,Palispark,2574,9583,1994,31,,272,,Sold,https://www.redfin.com/WY/Alpine/205-W-Mill-Cir-83128/home/143245281,TBOR,23-1876,N,43.1610688,-111.0109554,0,0,3,0
PAST SALE,2024-06-13,377,6,Single Family Residential,116 Clearview Dr,Etna,WY,83118,725000,4,2.5,Clearview Village,2400,27442,2024,1,,302,300.0,Sold,https://www.redfin.com/WY/Etna/116-Clearview-Dr-83118/home/165565518,TBOR,24-833,N,43.030386,-111.014363,0,2,2,0
PAST SALE,2024-05-14,407,5,Single Family Residential,1281 Strawberry Rd,Bedford,WY,83112,799000,3,2.0,Bridger Forest,2356,208652,2017,8,,339,300.0,Sold,https://www.redfin.com/WY/Bedford/1281-Strawberry-Creek-Private-Rd-83112/home/147181348,TBOR,24-556,N,42.907054,-110.90814,1,2,0,0
PAST SALE,2024-05-01,420,5,Single Family Residential,99 Cottonwood Dr,Smoot,WY,83126,395000,3,1.0,Cottonwood,1008,43995,1978,47,,392,,Sold,https://www.redfin.com/WY/Smoot/99-Cottonwood-DR-83126/home/187937071,TBOR,24-399,N,42.628912,-110.92186,0,0,0,1
PAST SALE,2023-10-19,615,10,Single Family Residential,1856 Lost Creek Rd,Thayne,WY,83127,775000,2,2.0,Mountain View Ranches,1918,190357,1988,37,,404,,Sold,https://www.redfin.com/WY/Thayne/1856-Lost-Crk-Rd-83127/home/135356708,TBOR,23-1765,N,42.938569,-110.935278,1,2,0,0
PAST SALE,2023-12-18,555,12,Single Family Residential,1 Barberry Way,Star Valley Ranch,WY,83127,525000,3,2.0,Star Valley Ranch,1625,13068,2023,2,,323,480.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/1-Barberry-Way-83127/home/165574935,TBOR,23-2478,N,42.965128,-110.982719,0,2,2,0
PAST SALE,2023-10-20,614,10,Single Family Residential,634 County Road 142,Fairview,WY,83119,725000,3,2.0,Fairview,1822,217800,1996,29,,398,,Sold,https://www.redfin.com/WY/Fairview/634-County-Road-142-83119/home/187933241,TBOR,23-2077,N,42.693975,-110.995419,1,2,0,0
PAST SALE,2023-10-20,614,10,Single Family Residential,485 Aspen Way,Star Valley Ranch,WY,83127,205000,1,1.0,Star Valley Ranch,648,30492,1980,45,,316,467.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/485-Aspen-Way-83127/home/187933792,TBOR,22-2691,N,43.001993,-110.973979,0,0,0,0
PAST SALE,2024-11-19,218,11,Single Family Residential,149 Larkspur Cir,Alpine,WY,83128,600000,3,2.0,Lazy B,1666,45738,1993,32,,360,25.0,Sold,https://www.redfin.com/WY/Alpine/149-Larkspur-Cir-83128/home/135385939,TBOR,24-2390,N,43.1755609,-111.0261689,0,2,2,1
PAST SALE,2024-07-16,344,7,Single Family Residential,167 Parkway Dr,Alpine,WY,83128,615000,3,2.0,Palispark,1374,8712,1999,26,,448,,Sold,https://www.redfin.com/WY/Alpine/167-Parkway-Dr-83128/home/135414760,TBOR,24-1312,N,43.1622119,-111.012708,1,2,0,0
PAST SALE,2024-06-14,376,6,Single Family Residential,76 Spruce St,Alpine,WY,83128,1295000,4,2.0,Rees Subdivision,2374,23522,2007,18,,545,,Sold,https://www.redfin.com/WY/Alpine/76-Spruce-St-83128/home/135358227,TBOR,24-936,N,43.1779523,-111.0153616,0,2,0,1
PAST SALE,2025-03-18,99,3,Single Family Residential,440 Buffalo Dr,Alpine,WY,83128,1200000,3,3.0,Trail Ridge,2548,73616,2005,20,,471,1000.0,Sold,https://www.redfin.com/WY/Alpine/440-Buffalo-Dr-83128/home/135410172,TBOR,25-92,N,43.1182917,-111.0216255,1,2,0,0
PAST SALE,2023-10-23,611,10,Single Family Residential,62 W 4th Ave,Afton,WY,83110,320000,4,1.0,Afton,2054,13503,1935,90,,156,,Sold,https://www.redfin.com/WY/Afton/62-W-4th-Ave-83110/home/135343550,TBOR,23-1805,N,42.7250739,-110.9359244,0,1,2,1
PAST SALE,2023-10-24,610,10,Single Family Residential,113 Lilac Dr,Star Valley Ranch,WY,83127,580000,5,3.0,Star Valley Ranch,2624,17424,2003,22,,221,536.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/113-Lilac-Dr-83127/home/135430875,TBOR,23-959,N,42.962885,-110.9831462,0,2,3,0
PAST SALE,2023-10-25,609,10,Single Family Residential,17 Sugarloaf,Star Valley Ranch,WY,83127,898000,5,2.5,Star Valley Ranch,3121,29185,2016,9,,288,418.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/17-Sugar-Loaf-Dr-83127/home/143244775,TBOR,23-2179,N,42.979496,-110.97009,0,2,3,0
PAST SALE,2024-06-21,369,6,Single Family Residential,283 Butte Dr,Star Valley Ranch,WY,83127,525000,3,2.0,Star Valley Ranch,1444,23958,2002,23,,364,387.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/283-Butte-Dr-83127/home/187962009,TBOR,24-1315,N,42.956336,-110.951212,0,2,0,1
PAST SALE,2023-10-25,609,10,Single Family Residential,217 E 9th Ave,Afton,WY,83110,624000,5,3.0,Afton,3860,24393,1985,40,,162,,Sold,https://www.redfin.com/WY/Afton/217-E-9th-Ave-83110/home/135370012,TBOR,22-1329,N,42.7181463,-110.9283336,0,2,3,1
PAST SALE,2025-06-13,12,6,Single Family Residential,972 Lariat Dr,Etna,WY,83118,870000,5,3.0,Nordic Ranches,3948,87120,2005,20,,220,,Sold,https://www.redfin.com/WY/Etna/972-Lariat-Dr-83118/home/135428772,TBOR,25-612,N,43.0755186,-111.0084561,1,3,3,0
PAST SALE,2025-04-11,75,4,Single Family Residential,115 Molly Ln,Thayne,WY,83127,849000,4,2.5,Thayne,2528,223462,1994,31,,336,,Sold,https://www.redfin.com/WY/Thayne/115-Molly-Ln-83127/home/135436616,TBOR,25-221,N,42.942191,-110.93974,1,2,0,0
PAST SALE,2023-12-11,562,12,Single Family Residential,244 Salt River Ln,Thayne,WY,83127,2288000,3,2.5,Salt River Ranch,3253,483951,2009,16,,703,951.0,Sold,https://www.redfin.com/WY/Thayne/244-Salt-River-LN-83127/home/187962172,TBOR,23-2458,N,42.889342,-111.000959,1,3,0,0
PAST SALE,2023-10-27,607,10,Single Family Residential,660 Alta Dr,Star Valley Ranch,WY,83127,389000,2,2.0,Star Valley Ranch,1305,33976,1991,34,,298,497.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/660-Alta-Dr-83127/home/135364155,TBOR,23-1762,N,42.9719487,-110.9564806,0,2,0,0
PAST SALE,2023-10-27,607,10,Single Family Residential,224 Redwood Cir,Star Valley Ranch,WY,83127,1150000,4,3.0,Star Valley Ranch,3060,30492,1996,29,,376,467.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/224-Redwood-Cir-83127/home/135371934,TBOR,23-2103,N,42.9906239,-110.956859,0,2,3,1
PAST SALE,2024-05-09,412,5,Single Family Residential,235 Sugar Dr,Star Valley Ranch,WY,83127,739000,3,2.5,Star Valley Ranch,2464,20473,2006,19,,300,418.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/235-Sugar-DR-83127/home/187933784,TBOR,24-359,N,42.98132,-110.972377,1,2,2,0
PAST SALE,2024-08-14,315,8,Single Family Residential,1698 County Road 106,Etna,WY,83118,3600000,4,2.5,Etna,3912,984456,2016,9,,920,,Sold,https://www.redfin.com/WY/Etna/1698-County-Road-106-83118/home/187963027,TBOR,24-1328,N,43.091768,-111.000476,1,3,0,0
PAST SALE,2023-10-30,604,10,Single Family Residential,670 Jackson St,Afton,WY,83110,360000,4,2.0,Afton,1721,13939,1973,52,,209,,Sold,https://www.redfin.com/WY/Afton/670-Jackson-St-83110/home/114080523,TBOR,23-2033,N,42.7203691,-110.9301032,1,2,0,0
PAST SALE,2024-09-30,268,9,Single Family Residential,72 Redwood Cir,Star Valley Ranch,WY,83127,759000,5,3.0,Star Valley Ranch,3022,26136,1988,37,,251,49.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/72-Redwood-Dr-83127/home/187960741,TBOR,24-2360,N,42.9870111,-110.9559641,1,2,3,0
PAST SALE,2025-04-28,58,4,Single Family Residential,1701 Co Rd 122,Thayne,WY,83127,669000,5,3.0,All Star,3152,87120,1988,37,,212,,Sold,https://www.redfin.com/WY/Thayne/1701-County-Road-122-83127/home/135352023,TBOR,25-318,N,42.9171232,-110.9703784,1,2,2,0
PAST SALE,2023-10-31,603,10,Single Family Residential,330 Gallup Dr,Etna,WY,83118,695000,1,1.5,Nordic Ranches,952,93654,2021,4,,730,,Sold,https://www.redfin.com/WY/Etna/330-Gallup-Dr-83118/home/165569265,TBOR,23-2027,N,43.089144,-111.007229,0,2,0,0
