SALE TYPE,SOLD DATE,Days_Since_Sold,Month_Sold,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,AGE,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,FAVORITE,LATITUDE,LONGITUDE,STORAGE_STRUCTURE,Garage_Spaces,Basement_Level,Recently_Renovated
PAST SALE,2025-04-17,69,4,Single Family Residential,90 Ramblin Rd,Freedom,WY,83118,675000,4,2.0,Freedom,2648,87120,2003,22,,255,,Sold,https://www.redfin.com/WY/Freedom/90-Ramblin-RD-83120/home/189959013,TBOR,24-307,N,42.98349,-110.992528,1,0,2,0
PAST SALE,2025-02-18,127,2,Single Family Residential,658 Cedar Dr,Star Valley Ranch,WY,83127,540000,2,1.0,Star Valley Ranch,1497,26136,2004,21,,361,377.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/658-Cedar-Dr-83127/home/191095871,TBOR,24-1350,N,42.992654,-110.95834,1,0,0,0
PAST SALE,2024-07-25,335,7,Single Family Residential,5 Meadow Ridge Rd,Alpine,WY,83128,949000,4,3.5,Meadow Ridge Estates,2892,24393,2007,18,,328,1350.0,Sold,https://www.redfin.com/WY/Alpine/5-Meadow-Ridge-Rd-83128/home/187932924,TBOR,23-2004,N,43.1755149,-111.0191837,0,2,0,0
PAST SALE,2024-07-24,336,7,Single Family Residential,228 Hialeah Rd,Afton,WY,83110,499000,4,2.0,Hialeah Subdivision,2084,69696,2003,22,,239,,Sold,https://www.redfin.com/WY/Afton/228-Hialeah-Rd-83110/home/135416086,TBOR,23-2063,N,42.667017,-110.937849,1,2,0,0
PAST SALE,2025-03-25,92,3,Single Family Residential,36 W 4th Ave,Afton,WY,83110,475000,5,2.0,Afton,2844,16552,1939,86,,167,,Sold,https://www.redfin.com/WY/Afton/36-E-4th-Ave-83110/home/135371650,TBOR,24-1791,N,42.7249911,-110.9343788,1,1,3,1
PAST SALE,2024-12-20,187,12,Single Family Residential,137 E 6th Ave,Afton,WY,83110,309000,3,2.0,Afton,1410,13503,1928,97,,219,,Sold,https://www.redfin.com/WY/Afton/137-E-6th-Ave-83110/home/135426600,TBOR,24-558,N,42.7219417,-110.9301032,1,1,0,1
PAST SALE,2024-06-28,362,6,Single Family Residential,105298 Us-89,Etna,WY,83118,725000,4,2.0,ZZZ--VOID--Do NOT Use,2052,477853,1918,107,,353,,Sold,https://www.redfin.com/WY/Etna/105298-U-S-89-83118/home/187933574,TBOR,22-983,N,42.9958021,-111.011878,1,2,2,0
PAST SALE,2024-12-30,177,12,Single Family Residential,580 Alta Dr,Star Valley Ranch,WY,83127,1163000,5,3.0,Star Valley Ranch,3904,60984,2008,17,,298,62.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/580-Alta-Dr-83127/home/195243822,TBOR,24-597,N,42.972171,-110.958352,0,3,3,0
PAST SALE,2025-05-20,36,5,Single Family Residential,540 Little Greys Loop,Etna,WY,83118,637000,3,2.0,Etna Village Estates,1625,23086,2024,1,,392,80.0,Sold,https://www.redfin.com/WY/Etna/540-Little-Greys-Loop-83120/home/192256060,TBOR,24-2258,N,43.0374434,-111.0189884,0,2,2,0
PAST SALE,2025-03-10,107,3,Single Family Residential,442 Spruce Dr,Star Valley Ranch,WY,83127,485000,2,1.5,Star Valley Ranch,1500,39204,1982,43,,323,581.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/442-Spruce-Dr-83127/home/135368110,TBOR,24-1414,N,43.0076933,-110.9764796,1,0,3,1
PAST SALE,2025-06-06,19,6,Single Family Residential,1400 Co Rd 126,Bedford,WY,83112,3750000,6,3.5,Bedford,5220,2295612,1999,26,,718,,Sold,https://www.redfin.com/WY/Bedford/1400-County-Road-126-83112/home/192257996,TBOR,24-2294,N,42.8869878,-110.9659734,1,3,3,0
PAST SALE,2024-09-30,268,9,Single Family Residential,101 Fairway Ave,Thayne,WY,83127,850000,4,3.5,Stewart Country Club Estates,3394,30056,2007,18,,250,1295.0,Sold,https://www.redfin.com/WY/Thayne/101-Fairway-Ave-83127/home/135418974,TBOR,23-2155,N,42.9675719,-110.9780291,1,3,3,0
PAST SALE,2024-08-23,306,8,Single Family Residential,12 Cottonwood Ln,Star Valley Ranch,WY,83127,545000,3,2.5,Star Valley Ranch,2064,40946,1996,29,,264,467.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/12-Cottonwood-Ln-83127/home/135343640,TBOR,23-338,N,42.9971523,-110.9805182,1,2,0,0
PAST SALE,2025-04-04,82,4,Single Family Residential,11 Last Chance Cir,Star Valley Ranch,WY,83127,685000,4,3.0,Star Valley Ranch,2700,28314,1993,32,,254,31.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/11-Last-Chance-Cir-83127/home/192274736,TBOR,24-552,N,42.9654929,-110.9503995,0,2,3,0
